Date,Google,Facebook,Apple
2019-07-26,62.5205,199.75,50.61908
2019-07-29,61.970501,195.940002,51.091785
2019-07-30,61.257,197.039993,50.87249
2019-07-31,60.834,194.229996,51.910515
2019-08-01,60.4505,192.729996,50.787201
2019-08-02,59.699501,189.020004,49.712646
2019-08-05,57.616001,181.729996,47.110294
2019-08-06,58.497501,184.509995,48.002113
2019-08-07,58.699501,185.149994,48.499187
2019-08-08,60.240002,190.160004,49.568882
2019-08-09,59.400501,187.850006,49.160416
2019-08-12,58.7355,185.369995,49.035667
2019-08-13,59.863499,188.449997,51.112247
2019-08-14,58.2145,179.710007,49.590893
2019-08-15,58.362999,182.589996,49.343857
2019-08-16,58.880001,183.699997,50.50811
2019-08-19,59.922501,186.169998,51.449783
2019-08-20,59.134499,183.809998,51.452232
2019-08-21,59.5625,183.550003,52.009903
2019-08-22,59.476501,182.039993,51.965874
2019-08-23,57.564499,177.75,49.563988
2019-08-26,58.4445,180.360001,50.505669
2019-08-27,58.391998,181.300003,49.935772
2019-08-28,58.550999,181.759995,50.270859
2019-08-29,59.642502,185.570007,51.122036
2019-08-30,59.404999,185.669998,51.056
2019-09-03,58.419498,182.389999,50.312443
2019-09-04,59.070499,187.139999,51.166065
2019-09-05,60.569,190.899994,52.166447
2019-09-06,60.246498,187.490005,52.161552
2019-09-09,60.220501,188.759995,52.384125
2019-09-10,60.299999,186.169998,53.002941
2019-09-11,61.008499,188.490005,54.688179
2019-09-12,61.712502,187.470001,54.565884
2019-09-13,61.978001,187.190002,53.504349
2019-09-16,61.564999,186.220001,53.785637
2019-09-17,61.4575,188.080002,53.981308
2019-09-18,61.620499,188.139999,54.48761
2019-09-19,61.935501,190.139999,54.044899
2019-09-20,61.496498,189.929993,53.254868
2019-09-23,61.7015,186.820007,53.497013
2019-09-24,60.938,181.279999,53.242634
2019-09-25,62.326,182.800003,54.062027
2019-09-26,62.0695,180.110001,53.783184
2019-09-27,61.254501,177.100006,53.521481
2019-09-30,60.950001,178.080002,54.78112
2019-10-01,60.255001,175.809998,54.93277
2019-10-02,58.831501,174.600006,53.555717
2019-10-03,59.391499,179.380005,54.010666
2019-10-04,60.450001,180.449997,55.524677
2019-10-07,60.383999,179.679993,55.536907
2019-10-08,59.456501,177.75,54.886295
2019-10-09,60.115501,179.850006,55.529575
2019-10-10,60.433498,180.029999,56.278023
2019-10-11,60.772499,184.190002,57.774921
2019-10-14,60.856998,183.279999,57.691761
2019-10-15,62.150501,188.889999,57.557236
2019-10-16,62.181999,189.550003,57.324863
