priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
11274.5098,2021,21/01/2021,D,F,1725000,GU25 4PS,E07000212,{C18F412B-5623-81A6-E053-6B04A8C0AD18},12270363,153,6,11,55,75,England and Wales: 1983-1990
2061.85567,2021,24/06/2021,D,F,400000,GU25 4PT,E07000212,{C8A3A576-A04B-0425-E053-6C04A8C0947B},12286746,194,8,11,71,80,England and Wales: 1983-1990
6557.217797,2021,20/08/2021,S,F,675000,GU25 4PT,E07000212,{D22473F6-0D5D-7B40-E053-6C04A8C0A630},12265899,102.94,4,11,56,61,England and Wales: 1900-1929
6679.104478,2021,19/02/2021,D,F,895000,GU25 4PU,E07000212,{C3C3F9B6-4C16-362B-E053-6B04A8C03ACC},12262508,134,8,11,51,75,England and Wales: 1967-1975
6275.100402,2021,07/06/2021,D,F,3125000,GU25 4PW,E07000212,{CFC9085D-104B-9A70-E053-6B04A8C09D6A},12265592,498,11,11,66,75,England and Wales: 1996-2002
7952.87187,2021,28/06/2021,D,F,5400000,GU25 4PW,E07000212,{D22473F6-0951-7B40-E053-6C04A8C0A630},12275019,679,NA,11,48,50,NO DATA!
8828.125,2021,30/09/2021,D,F,1695000,GU25 4PX,E07000212,{D22473F6-0DB0-7B40-E053-6C04A8C0A630},12286633,192,9,11,73,82,England and Wales: 1991-1995
9032.634033,2021,10/09/2021,D,F,3875000,GU25 4PZ,E07000212,{D93B27B1-5E7E-3100-E053-6C04A8C08887},12257947,429,NA,11,82,82,NO DATA!
16808.13514,2021,07/12/2021,D,F,4000000,GU25 4QD,E07000212,{D707E535-F3E1-0AD9-E053-6B04A8C067CC},12272105,237.98,10,11,48,61,England and Wales: 1950-1966
5662.020906,2021,29/06/2021,D,F,1625000,GU25 4QD,E07000212,{CFC9085D-0BED-9A70-E053-6B04A8C09D6A},12279637,287,8,12,71,80,England and Wales: 1950-1966
7054.794521,2021,15/09/2021,D,F,1030000,GU25 4QY,E07000212,{D93B27B1-5C2A-3100-E053-6C04A8C08887},12287678,146,6,11,56,74,England and Wales: 1950-1966
6000,2021,30/06/2021,S,F,690000,GU25 4RA,E07000212,{D4D42646-5831-27F6-E053-6C04A8C0A572},12271729,115,5,11,52,67,England and Wales: 1950-1966
6651.785714,2021,23/06/2021,D,F,745000,GU25 4RD,E07000212,{CB0035E6-36F2-58AE-E053-6B04A8C091AF},12285675,112,5,11,73,84,England and Wales: 1976-1982
4591.836735,2021,14/06/2021,S,F,675000,GU25 4RE,E07000212,{D22473F6-06FA-7B40-E053-6C04A8C0A630},12286294,147,7,11,53,69,England and Wales: 1950-1966
7831.325301,2021,30/04/2021,D,F,1950000,GU25 4RE,E07000212,{CB0035E6-3712-58AE-E053-6B04A8C091AF},12265726,249,8,12,81,86,England and Wales: 2007 onwards
3587.962963,2021,11/06/2021,S,F,775000,GU25 4RF,E07000212,{CD5A9DCC-568F-310A-E053-6C04A8C00A1F},12268758,216,9,11,64,74,England and Wales: 1950-1966
11481.77778,2021,28/01/2021,D,F,1550040,GU25 4RP,E07000212,{BEF7EBBF-5470-7A76-E053-6B04A8C092F7},12280056,135,5,11,58,69,England and Wales: 1930-1949
5848.623853,2021,14/04/2021,D,F,1275000,GU25 4RR,E07000212,{C3C3F9B6-4DB0-362B-E053-6B04A8C03ACC},12271225,218,8,12,63,78,England and Wales: 1976-1982
7236.842105,2021,27/05/2021,D,F,2200000,GU25 4RT,E07000212,{CD5A9DCC-5CD7-310A-E053-6C04A8C00A1F},12269952,304,8,11,65,79,England and Wales: 1950-1966
6219.312602,2021,26/07/2021,D,F,3800000,GU25 4RU,E07000212,{CB0035E6-3B5F-58AE-E053-6B04A8C091AF},12286462,611,11,11,82,84,England and Wales: 2007-2011
7142.857143,2021,22/07/2021,D,F,1350000,GU25 4RW,E07000212,{D4D42646-588A-27F6-E053-6C04A8C0A572},12260068,189,6,12,72,82,England and Wales: 1950-1966
7902.735562,2021,12/11/2021,D,F,2600000,GU25 4RX,E07000212,{E2D14906-116A-4C2D-E053-6B04A8C0422B},12276656,329,7,11,78,83,England and Wales: 2003-2006
9396.449704,2021,30/09/2021,D,F,1588000,GU25 4RY,E07000212,{DBA933FA-0148-669D-E053-6B04A8C0AD56},12282901,169,8,11,55,75,England and Wales: 1967-1975
9132.420091,2021,11/10/2021,D,F,2000000,GU25 4SD,E07000212,{D22473F6-0826-7B40-E053-6C04A8C0A630},12273477,219,6,12,53,66,England and Wales: 1950-1966
8303.886926,2021,23/06/2021,D,F,2350000,GU25 4SE,E07000212,{D22473F6-082F-7B40-E053-6C04A8C0A630},12283808,283,9,12,60,85,England and Wales: 1950-1966
8986.175115,2021,01/11/2021,D,F,3900000,GU25 4SE,E07000212,{D22473F6-0860-7B40-E053-6C04A8C0A630},12278702,434,NA,11,86,86,NO DATA!
6753.623188,2021,20/04/2021,D,F,6990000,GU25 4SF,E07000212,{CB0035E6-3C25-58AE-E053-6B04A8C091AF},12262374,1035,NA,11,73,73,NO DATA!
5538.922156,2021,24/06/2021,T,F,925000,GU25 4SP,E07000212,{D22473F6-0E0E-7B40-E053-6C04A8C0A630},12270799,167,6,12,70,81,England and Wales: 1996-2002
5409.090909,2021,26/02/2021,F,L,595000,GU25 4ST,E07000212,{D707E535-FA4E-0AD9-E053-6B04A8C067CC},12267608,110,4,11,77,81,England and Wales: 1991-1995
5294.117647,2021,30/06/2021,F,L,630000,GU25 4ST,E07000212,{D707E535-FA6E-0AD9-E053-6B04A8C067CC},12275536,119,4,12,73,79,England and Wales: 1991-1995
4887.218045,2021,24/06/2021,F,L,650000,GU25 4ST,E07000212,{D93B27B1-6193-3100-E053-6C04A8C08887},12275100,133,4,11,70,75,England and Wales: 1996-2002
