,datetime,duration,title,genres,release_date,movie_id,user_id
119,2017-01-01 22:29:36,67145.0,Fight Club,Drama,1999-10-15,338abadc17,b25918e854
120,2017-01-01 02:15:04,5474.0,Spectral,"Action, Adventure, Sci-Fi",2016-12-09,3752874a52,1f8f35e6c9
121,2017-01-01 08:58:13,1699.0,The Family,"Comedy, Crime, Thriller",2013-09-13,7ad981e8e8,cc5ecf4eb6
122,2017-01-01 09:48:14,6329.0,The Cobbler,"Comedy, Drama, Fantasy",2015-03-13,cd4da40ba8,d2b1123bae
123,2017-01-01 13:19:24,195092.0,The Water Diviner,"Drama, History, War",2014-12-26,7165c2fc94,6fa5014a0b
124,2017-01-01 14:39:31,3712.0,The Glass House,"Crime, Drama, Mystery, Thriller",2001-09-14,d76863536e,1df08c2680
125,2017-01-01 19:03:56,6452.0,Radio Rebel,"Comedy, Drama, Family",2012-02-17,904e799995,4d121f30e2
126,2017-01-01 21:47:50,6109.0,In My Dreams,"Drama, Romance",2014-04-20,2eb6d86cfa,b32652b1e8
127,2017-01-01 23:05:17,800.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,93e9369e81
128,2017-01-01 00:56:58,89778.0,Interview with a Serial Killer,"Documentary, Crime",NOT AVAILABLE,c90cf8bbe0,94fba6b03b
129,2017-01-01 01:32:11,4426.0,The Water Diviner,"Drama, History, War",2014-12-26,7165c2fc94,775a8ab995
130,2017-01-01 10:45:28,6178.0,Arthur Christmas,"Animation, Adventure, Comedy, Family, Fantasy",2011-11-23,e013ab5a31,81515c5aa2
131,2017-01-01 11:11:14,5025.0,A Wish For Christmas,"Drama, Family, Fantasy, Romance",2016-10-29,027eb05f4f,700e285626
132,2017-01-01 13:00:42,1025.0,Falcon Rising,"Action, Adventure, Crime, Thriller",2014-11-27,d52803833b,3195ebddb2
133,2017-01-01 14:52:11,5235.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,cf1e431ed8
134,2017-01-01 15:41:23,6773.0,The Glass House,"Crime, Drama, Mystery, Thriller",2001-09-14,d76863536e,1df08c2680
135,2017-01-01 18:23:20,6487.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,aa0e997bcf
136,2017-01-01 18:34:46,4883.0,Howard Lovecraft & the Frozen Kingdom,"Animation, Fantasy",2016-10-01,3b12f4236f,d78dddc918
137,2017-01-01 23:06:04,67594.0,The Equalizer,"Action, Crime, Thriller",2014-09-26,c738cc60db,5a06b05258
138,2017-01-01 23:07:14,1165.0,The Interview,"Action, Adventure, Comedy",2014-12-24,2d01b1371c,3e3809655c
139,2017-01-01 23:29:39,84066.0,Hope Floats,"Drama, Romance",1998-05-29,fcdfbd9721,b32652b1e8
140,2017-01-01 12:42:04,23586.0,The Maze Runner,"Action, Mystery, Sci-Fi, Thriller",2014-09-19,aed4ea97df,1daab4d5ce
141,2017-01-01 15:51:24,3702.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,697da918e0
142,2017-01-01 18:52:52,359537.0,Annie,"Comedy, Drama, Family, Musical",2014-12-19,c4d5226efa,a5ef8a30ec
143,2017-01-01 20:51:37,3002.0,Joe and Caspar Hit the Road,"Documentary, Adventure, Comedy",2015-11-23,416464eaad,4d121f30e2
144,2017-01-01 22:43:22,87546.0,Criminal,"Action, Sci-Fi, Thriller",2016-04-15,567629ee78,f8b8b88b96
145,2017-01-01 01:37:54,58883.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,1a98829ea4
146,2017-01-01 05:15:33,64644.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,a2aeded38e
147,2017-01-01 12:54:39,6601.0,The Interview,"Action, Adventure, Comedy",2014-12-24,2d01b1371c,7c7a682529
148,2017-01-01 13:57:54,1181.0,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",2014-06-27,b23a3704ca,1e3b3ccb0c
149,2017-01-01 15:30:03,5745.0,Jane Got a Gun,"Action, Drama, Western",2016-01-29,75b2709654,b8de150770
150,2017-01-01 17:06:53,3353.0,Elf,"Comedy, Family, Fantasy, Romance",2003-11-07,fd95534e2a,018844a9b2
151,2017-01-01 17:40:11,600.0,ARQ,"Action, Sci-Fi, Thriller",2016-09-16,05d1474c9e,653cd771aa
152,2017-01-01 19:46:12,972.0,Nazi Gold in Argentina,Documentary,2005-04-07,f3aaf232ea,3195ebddb2
153,2017-01-01 20:13:26,5204.0,Full Out,"Biography, Drama, Family, Sport",2015-09-11,1698162ce4,aa0e997bcf
154,2017-01-01 00:04:26,52579.0,Harold & Kumar Go to White Castle,"Adventure, Comedy",2004-07-30,22d5980077,93e9369e81
155,2017-01-01 20:08:15,9688.0,Gone Girl,"Drama, Mystery, Thriller",2014-10-03,4abd6a2b0a,5b935a9a3f
156,2017-01-01 20:15:37,6517.0,The Jihadis Next Door,Documentary,2016-01-19,01230408ce,f0506de254
157,2017-01-01 01:23:15,87001.0,My Best Friend's Wedding,"Comedy, Drama, Romance",1997-06-20,2af900d312,f9e630b03f
158,2017-01-01 03:54:51,571.0,The Twilight Saga: New Moon,"Adventure, Drama, Fantasy, Romance",2009-11-20,5d495dbf00,e6d9057367
159,2017-01-01 06:59:42,36188.0,Good Will Hunting,"Drama, Romance",1998-01-09,196b10fbd4,e70f7b8255
160,2017-01-01 15:16:29,27750.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,ff247b4f5b
161,2017-01-01 17:58:36,7851.0,Puss in Boots,"Animation, Adventure, Comedy, Family, Fantasy, Mystery",2011-10-28,f57be90dfa,fa5a0003e5
162,2017-01-01 19:39:35,524.0,The Keeping Room,"Drama, Western",2015-09-25,a124bf390e,2fbb7a44f6
163,2017-01-01 20:00:24,5104.0,The Reef,"Adventure, Drama, Horror, Thriller",2011-03-17,32cfa46079,1daab4d5ce
