Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62df9b6dd95d9bef68111d77,606451b5aab2ec4afaae10f4,APPROVED,2022-07-26T07:44:47.732000Z,2022-07-26T07:50:14.965000Z,2022-07-27T12:55:41.195000Z,,328,MBIMZO1R,1297,33,Male,Asian,Iran,United Kingdom,United Kingdom,English,No,Full-Time
62df9b6e63a5086b52cb3fc4,5d5a75c570a7c1000152623e,APPROVED,2022-07-26T07:45:02.978000Z,2022-07-26T07:54:22.342000Z,2022-07-27T11:22:23.394000Z,,560,MBIMZO1R,1766,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b6e8ae65393432f35b5,62a3a5f3013a2d2f906b7bd0,APPROVED,2022-07-26T07:44:50.102000Z,2022-07-26T07:52:14.868000Z,2022-07-27T12:55:41.919000Z,,445,MBIMZO1R,344,32,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b6eb350ebc38e2bcd0b,5e7dba4f1d6961436474c8f2,APPROVED,2022-07-26T07:44:46.832000Z,2022-07-26T07:51:23.500000Z,2022-07-27T11:21:41.671000Z,,397,MBIMZO1R,1384,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b6f167ec1a0540ed218,5b2b83b10ec82d0001d29549,APPROVED,2022-07-26T07:44:50.809000Z,2022-07-26T07:56:02.043000Z,2022-07-27T11:21:41.059000Z,,672,MBIMZO1R,1661,DATA_EXPIRED,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
62df9b7020355625fbca3676,5e93138a7d69590115fa1e21,APPROVED,2022-07-26T07:44:48.405000Z,2022-07-26T07:54:39.262000Z,2022-07-27T12:55:41.341000Z,,591,MBIMZO1R,1487,66,Male,White,Germany,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62df9b703ab85e462c0435fe,5ea01c7e792cdc00099748d6,APPROVED,2022-07-26T07:44:51.655000Z,2022-07-26T07:53:55.109000Z,2022-07-27T11:21:40.950000Z,,544,MBIMZO1R,1156,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
62df9b70e4952846ec228794,611578fe8cbea39bf4928b6d,APPROVED,2022-07-26T07:44:48.645000Z,2022-07-26T07:54:21.849000Z,2022-07-27T12:55:41.486000Z,,574,MBIMZO1R,1328,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b71904c6419654bd64f,5c63efbf571f930001eb2326,APPROVED,2022-07-26T07:44:52.190000Z,2022-07-26T07:50:22.253000Z,2022-07-27T11:21:40.842000Z,,331,MBIMZO1R,762,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b71e1ba268258876ba9,5e31a1526ef37a1879a94441,APPROVED,2022-07-26T07:44:49.413000Z,2022-07-26T07:53:00.816000Z,2022-07-27T12:55:41.777000Z,,492,MBIMZO1R,1453,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62df9b71f5070f168909bc09,60e18fc810d0837bef0f5873,APPROVED,2022-07-26T07:44:53.952000Z,2022-07-26T07:51:55.961000Z,2022-07-27T12:55:53.009000Z,,423,MBIMZO1R,1070,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b722a392d8d0a1c20d2,5b5f7b7869565a0001293821,APPROVED,2022-07-26T07:46:43.629000Z,2022-07-26T07:55:02.112000Z,2022-07-27T11:22:21.933000Z,,499,MBIMZO1R,518,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
62df9b7288a43ef28a491ba7,5f0df5f86b40300d89202f6c,APPROVED,2022-07-26T07:44:50.321000Z,2022-07-26T07:55:20.643000Z,2022-07-27T12:55:42.059000Z,,631,MBIMZO1R,1115,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
