,Code,Year,Population (England),Annual CO₂ emissions (per capita),Total CO2 emissions,Relative per capita CO2 emissions,Relative total CO2 emissions
23,GBR,1818-01-01,10957000,2.2117085,24233690.0345,219.69596507764425,408.83299751286484
24,GBR,1819-01-01,11122000,2.1248052,23632083.4344,211.06358682258394,398.68362986426274
25,GBR,1820-01-01,11268000,2.0538151,23142388.5468,204.0119167989536,390.4222619719105
26,GBR,1821-01-01,11457000,2.0096407,23024453.4999,199.6239346395841,388.43264591809015
27,GBR,1822-01-01,11652000,2.0428913,23803769.4276,202.92682137009615,401.5800479966645
28,GBR,1823-01-01,11839000,2.1234748,25139818.157199997,210.93143400410028,424.11977703371997
29,GBR,1824-01-01,12017000,2.195287,26380763.879,218.06476580770314,445.0550765474132
30,GBR,1825-01-01,12208000,2.1898577,26733782.8016,217.52545635385965,451.0106608641167
31,GBR,1826-01-01,12374000,2.1861284,27051152.821599998,217.15501324955179,456.3648325322612
32,GBR,1827-01-01,12528000,2.2480597,28163691.921600003,223.30684416308003,475.1338559230752
33,GBR,1828-01-01,12728000,2.2347286,28443625.6208,221.98262404996538,479.85646041235725
34,GBR,1829-01-01,12903000,2.2388353,28887691.875899997,222.39055548387014,487.3480532283248
35,GBR,1830-01-01,13074000,2.815334,36807676.716,279.655985472726,620.9616769820685
36,GBR,1831-01-01,13254000,2.6977081,35755423.1574,267.9718346822278,603.2096971600284
37,GBR,1832-01-01,13394000,2.6617248,35651141.9712,264.39750026149454,601.4504277347924
38,GBR,1833-01-01,13565000,2.6307502,35686126.463,261.3206957730667,602.0406314812585
39,GBR,1834-01-01,13760000,2.605666,35853964.16,258.8290032524652,604.8721271660872
40,GBR,1835-01-01,13921000,2.5682752,35752959.0592,255.1148574276311,603.1681267408377
41,GBR,1836-01-01,14100000,2.9776533,41984911.53,295.7796723257754,708.3039028181781
42,GBR,1837-01-01,14261000,2.8441617,40560590.003699996,282.5195316283196,684.2749729197462
43,GBR,1838-01-01,14416000,2.8930328,41705960.844799995,287.37405177819744,703.5978822069453
44,GBR,1839-01-01,14594000,2.9430082,42950261.6708,292.3382655220707,724.5897838024965
